CNT,OWB,X,Y
AUT,0.4231747044495545,0.014986388700731214,0.17287838909939626
BEL,0.5289031545185024,0.09053544822802284,-0.09268217230475925
BGR,0.12228539920742994,-0.2000163283355888,-0.10278686585046774
CZE,0.17686823917602948,-0.16101374933942256,-0.22674925659686782
DEU,0.19349475472771382,-0.14913314754939822,0.06254841734221177
DNK,0.791469297150334,0.2781540610669293,-0.1473376870851321
ESP,0.40756937188670056,0.0038354808990429456,0.2537010903748756
EST,0.5613433159715746,0.1137158096831928,-0.25119458709785175
FIN,0.5926103641535614,0.13605791422367527,0.025638876024149125
FRA,0.33026679308443996,-0.05140165843040575,-0.1492088248968371
GBR,0.4778118532030417,0.05402777444777347,-0.22579274772620783
GRC,0.22990856519621494,-0.12311338529140334,-0.030829347344316145
HRV,0.12096776584605089,-0.20095785316820533,0.271735734832567
HUN,0.4513791873579385,0.03514011418136037,0.18211371360416304
IRL,0.7969323201831355,0.2820577052803358,-0.12874545731284046
ISL,0.9226020949877412,0.3718559884416143,0.027391320255220928
ITA,0.12013823959477553,-0.20155059739264242,0.05644474073633524
LTU,0.48566377707664515,0.059638425731735216,0.013402935501422257
LVA,0.3308291281109448,-0.05099983770605021,-0.35121981975442157
MLT,0.32176609296270187,-0.05747589766404667,-0.2353534239409326
NLD,0.6459804543178429,0.17419391372209625,0.058016183722924546
NOR,1.0,0.4271612438316785,-0.00754964411023471
POL,0.135837688105887,-0.19033243833197197,-0.177645616097954
PRT,0.03518562500260191,-0.2622541273567893,0.367598097071605
ROU,0.045941077940292584,-0.25456873753311665,-0.057386903449876785
SVK,0.0,-0.28739628044891385,-0.12894332189663973
SVN,0.5004569641647326,0.07020900887361864,-0.02192839074589328
SWE,0.8096823158236124,0.29116831059978326,-0.023824018985270652
